dir,type,status,scale,seed,steps,params,val_ch_acc,val_acc_final,T_eval,decay_pct,decay_win_pct,ch_final
run_1000m_seed0_2k,scale,incomplete,1000m,0,?,?,,,,,,
run_100m_seed0,scale,undertrained,100m,0,100,72.32M,0.5743,0.1747,T150,+26.406*,+1.838*,0.5872*
run_100m_seed0_500,scale,converged,100m,0,500,72.32M,0.3969,0.1555,T150,+0.236,-0.788,0.5924
run_100m_seed1,scale,undertrained,100m,1,100,72.32M,0.5544,0.1835,T150,+0.735*,-1.476*,0.5481*
run_100m_seed2,scale,undertrained,100m,2,100,72.32M,0.5371,0.1513,T150,+1.347*,+1.439*,0.5720*
run_100m_seed3_500,scale,converged,100m,3,500,72.32M,0.5423,0.2032,T150,+1.933,+0.671,0.5997
run_100m_seed4_500,scale,converged,100m,4,500,72.32M,0.5771,0.1905,T150,+0.370,-0.151,0.5880
run_300m_seed0,scale,undertrained,300m,0,100,182.95M,0.2624,0.0878,T150,+226.705*,-11.011*,0.1821*
run_300m_seed0_2k,scale,converged,300m,0,2000,182.95M,0.5849,0.1960,T150,-1.686,-0.355,0.5889
run_300m_seed1_2k,scale,converged,300m,1,2000,182.95M,0.5865,0.1940,T150,-1.664,-0.146,0.5856
run_300m_seed2_2k,scale,converged,300m,2,2000,182.95M,0.5851,0.1957,T150,-0.275,-0.157,0.5971
run_30m_seed0_500,scale,converged,30m,0,500,26.59M,0.4727,0.1687,T150,-9.814,-3.374,0.5357
run_30m_seed1,scale,undertrained,30m,1,100,26.59M,0.5647,0.1875,T150,+6.766*,-1.160*,0.5897*
run_30m_seed1_500,scale,converged,30m,1,500,26.59M,0.5649,0.1945,T150,-2.290,+0.126,0.5784
run_30m_seed2,scale,undertrained,30m,2,100,26.59M,0.5803,0.1930,T150,-1.011*,-0.317*,0.5816*
run_30m_seed2_500,scale,converged,30m,2,500,26.59M,0.5741,0.1897,T150,-0.348,-0.222,0.5921
run_30m_seed3,scale,undertrained,30m,3,100,26.59M,0.5800,0.1873,T150,+3.252*,+1.015*,0.5938*
run_30m_seed3_500,scale,converged,30m,3,500,26.59M,0.5594,0.1932,T150,-2.022,-0.982,0.5757
run_30m_seed4,scale,undertrained,30m,4,100,26.59M,0.5664,0.1890,T150,-0.461*,+2.635*,0.5897*
